ID,Specialty,Years_in_Practice,Practice_Setting,Country,Aware_of_Dermacure,First_Learned,Frequency_of_Info,Prescribed_Dermacure,Number_of_Patients,Not_Prescribed_Reasons,Overall_Effectiveness,Response_Time,Safety_Profile,Adverse_Effects,Barriers,Future_Prescribing_Intent,Alternative_Treatments,Dupilumab_Rating,Tralokinumab_Rating,Upadacitinib_Rating,Abrocitinib_Rating,Ruxolitinib_Rating,Influencing_Factors,Ranking_Factors,Patient_Severity,Biologic_Naive_Percentage,Comorbidities,Suitable_Patient_Profile,Patient_Journey,Switching_Stage,Additional_Comments
182,Dermatology,21+ years,Private practice,France,Yes,,,Yes,More than 20,,Very effective,No noticeable response,Comparable,Yes: Mild headache,,Likely,"Upadacitinib, Tralokinumab, Dupilumab",1,5,1,2,5,"Patient demand, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,26-50%,"Food Allergies, Psoriasis","Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of multiple systemic therapies,Waiting for more data
183,Dermatology,11-20 years,Academic/Research institution,Germany,No,,,Yes,6-10,,Somewhat effective,2-4 weeks,Superior,,Limited clinical data,Likely,"Tralokinumab, Upadacitinib",1,3,4,5,2,"Patient demand, Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,"Asthma, None",Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Great potential
184,Dermatology,0-5 years,Community clinic,Italy,No,,,Yes,1-5,,Unsure,No noticeable response,Comparable,,Side effect concerns,Very likely,Abrocitinib,1,2,2,5,3,"Peer recommendations, Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,Food Allergies,"Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Systemic,After failure of systemic therapies,Waiting for more data
185,Pediatrics,21+ years,Private practice,France,No,,,No,,Lack of familiarity,Somewhat effective,More than 4 weeks,Inferior,Yes: Mild headache,Cost issues,Very likely,"Tralokinumab, Ruxolitinib Cream",1,1,5,1,3,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,None,Patients with severe symptoms,Topical -> Systemic,After failure of systemic therapies,High patient satisfaction
186,Allergy/Immunology,0-5 years,Hospital-based,France,Yes,,,Yes,11-20,,Unsure,More than 4 weeks,Inferior,,Limited clinical data,Neutral,Upadacitinib,5,,,5,5,"Patient demand, Safety profile, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,"Food Allergies, Asthma","Patients who failed topical corticosteroids, Patients with severe symptoms",Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Waiting for more data
187,Pediatrics,6-10 years,Community clinic,Germany,No,,,No,,,Very effective,2-4 weeks,Comparable,Yes: Nausea,Side effect concerns,Very unlikely,"Upadacitinib, Tralokinumab, Abrocitinib",4,3,1,5,1,"Patient demand, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,0-25%,None,"Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Phototherapy -> Systemic,After failure of topical therapies,High patient satisfaction
188,Allergy/Immunology,0-5 years,Private practice,Italy,Yes,Other: Online research,Rarely,No,,Insufficient clinical evidence,Unsure,<2 weeks,Comparable,Yes: Dizziness,Lack of training,Very unlikely,"Abrocitinib, Upadacitinib, Ruxolitinib Cream",1,,,5,5,"Safety profile, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,76-100%,"Asthma, Allergic Rhinitis",Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of topical therapies,High patient satisfaction
189,General Practice,11-20 years,Private practice,Germany,Yes,Pharmaceutical representative,Occasionally,Yes,1-5,,Very effective,Unsure,Superior,,,Likely,"Upadacitinib, Abrocitinib",3,3,1,1,2,"Safety profile, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,None,"Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Systemic,After failure of multiple systemic therapies,Limited evidence available
190,Allergy/Immunology,6-10 years,Academic/Research institution,Germany,No,,,No,,Concerns about cost,Effective,2-4 weeks,Inferior,Yes: Mild headache,Side effect concerns,Unlikely,"Dupilumab, Tralokinumab, Abrocitinib",3,,,4,2,"Safety profile, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,Allergic Rhinitis,"Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Phototherapy -> Systemic,After failure of topical therapies,Limited evidence available
191,Pediatrics,11-20 years,Private practice,Italy,Yes,Pharmaceutical representative,Frequently,Yes,11-20,,Somewhat effective,Unsure,Superior,,,Very likely,"Upadacitinib, Abrocitinib",1,3,,,,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,None,"Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of topical therapies,Great potential
192,Allergy/Immunology,11-20 years,Private practice,Italy,Yes,,,Yes,More than 20,,Somewhat effective,No noticeable response,Superior,,Limited clinical data,Likely,"Dupilumab, Ruxolitinib Cream, Tralokinumab",5,4,1,3,2,Patient demand,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,Allergic Rhinitis,"Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Great potential
193,Pediatrics,6-10 years,Community clinic,Germany,Yes,Pharmaceutical representative,Occasionally,Yes,1-5,,Very effective,Unsure,Inferior,Yes: Mild headache,Side effect concerns,Unlikely,"Dupilumab, Abrocitinib, Tralokinumab",5,4,2,5,1,"Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,Food Allergies,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Limited evidence available
194,General Practice,6-10 years,Private practice,Italy,Yes,Pharmaceutical representative,Frequently,No,,Cost issues,Unsure,More than 4 weeks,Unsure,Yes: Nausea,,Unlikely,Tralokinumab,5,5,1,,4,"Safety profile, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,None,Patients who failed systemic therapies,Topical -> Biologic,After failure of topical therapies,Great potential
195,Allergy/Immunology,21+ years,Community clinic,Germany,No,,,No,,Preference for alternative treatments,Not effective,No noticeable response,Unsure,Yes: Dizziness,Side effect concerns,Very unlikely,"Ruxolitinib Cream, Abrocitinib",,,3,2,1,"Cost, Peer recommendations, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,Food Allergies,"Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Biologic,After failure of topical therapies,Great potential
196,General Practice,6-10 years,Private practice,Germany,No,,,No,,Lack of familiarity,Not effective,No noticeable response,Unsure,Yes: Nausea,Cost issues,Very unlikely,Tralokinumab,4,2,5,4,4,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,Allergic Rhinitis,Patients who failed topical corticosteroids,Topical -> Systemic,After failure of systemic therapies,High patient satisfaction
197,Pediatrics,6-10 years,Academic/Research institution,Spain,Yes,Medical journal/literature,Occasionally,Yes,More than 20,,Effective,<2 weeks,Comparable,Yes: Dizziness,Lack of training,Unlikely,"Tralokinumab, Upadacitinib",5,1,,5,,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,"Asthma, Food Allergies",Patients who failed topical corticosteroids,Topical -> Systemic,After failure of topical therapies,Waiting for more data
198,Dermatology,11-20 years,Hospital-based,Italy,No,,,Yes,6-10,,Effective,No noticeable response,Superior,Yes: Nausea,Limited clinical data,Unlikely,Abrocitinib,5,,3,2,1,"Safety profile, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,Allergic Rhinitis,Patients with severe symptoms,Topical -> Biologic,After failure of systemic therapies,Limited evidence available
199,Dermatology,21+ years,Academic/Research institution,France,Yes,,,Yes,11-20,,Unsure,More than 4 weeks,Comparable,Yes: Mild headache,Side effect concerns,Likely,"Abrocitinib, Tralokinumab",3,,,,,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,26-50%,"Asthma, Food Allergies","Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Biologic,After failure of topical therapies,Limited evidence available
200,Pediatrics,0-5 years,Hospital-based,Italy,No,,,Yes,6-10,,Somewhat effective,2-4 weeks,Unsure,Yes: Dizziness,Lack of training,Neutral,Dupilumab,2,1,,,4,"Cost, Patient demand, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,"Allergic Rhinitis, Food Allergies",Patients who failed topical corticosteroids,Topical -> Systemic,After failure of multiple systemic therapies,Waiting for more data
201,Allergy/Immunology,0-5 years,Hospital-based,Spain,Yes,,,Yes,11-20,,Not effective,No noticeable response,Unsure,Yes: Mild headache,Limited clinical data,Very unlikely,"Upadacitinib, Dupilumab",5,4,,2,1,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,Asthma,"Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Biologic,After failure of topical therapies,High patient satisfaction
202,General Practice,6-10 years,Community clinic,France,Yes,Professional conference,Occasionally,Yes,More than 20,,Not effective,2-4 weeks,Comparable,Yes: Dizziness,Side effect concerns,Very unlikely,Abrocitinib,1,,3,1,4,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,"Psoriasis, Food Allergies","Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of multiple systemic therapies,High patient satisfaction
203,Allergy/Immunology,0-5 years,Hospital-based,France,No,,,Yes,6-10,,Somewhat effective,2-4 weeks,Unsure,Yes: Mild headache,,Neutral,"Upadacitinib, Ruxolitinib Cream",2,4,1,3,5,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,"Psoriasis, Allergic Rhinitis",Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Limited evidence available
204,Pediatrics,0-5 years,Hospital-based,Italy,Yes,,,Yes,More than 20,,Unsure,More than 4 weeks,Superior,Yes: Dizziness,Lack of training,Neutral,"Tralokinumab, Upadacitinib, Abrocitinib",5,2,4,5,,"Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,"Allergic Rhinitis, None","Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Waiting for more data
205,General Practice,11-20 years,Academic/Research institution,France,Yes,Peer recommendation,Occasionally,Yes,1-5,,Unsure,More than 4 weeks,Unsure,Yes: Mild headache,,Very likely,"Ruxolitinib Cream, Tralokinumab",4,4,4,5,3,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,0-25%,Food Allergies,"Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Biologic,After failure of multiple systemic therapies,Waiting for more data
206,Allergy/Immunology,21+ years,Private practice,Spain,No,,,No,,Lack of familiarity,Somewhat effective,<2 weeks,Comparable,Yes: Dizziness,Lack of training,Unlikely,Ruxolitinib Cream,1,3,2,3,1,"Peer recommendations, Clinical efficacy, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,"Food Allergies, None",Patients who failed systemic therapies,Topical -> Biologic,After failure of systemic therapies,Great potential
207,Allergy/Immunology,11-20 years,Hospital-based,Germany,Yes,Other: Online research,Rarely,No,,Lack of familiarity,Very effective,2-4 weeks,Superior,Yes: Nausea,Cost issues,Unlikely,Tralokinumab,4,2,4,4,2,"Clinical efficacy, Peer recommendations, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,0-25%,"Allergic Rhinitis, Food Allergies","Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Systemic,After failure of systemic therapies,High patient satisfaction
208,General Practice,6-10 years,Community clinic,France,Yes,,,Yes,More than 20,,Effective,More than 4 weeks,Superior,Yes: Nausea,Limited clinical data,Very unlikely,Upadacitinib,3,1,,4,5,Patient demand,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,Psoriasis,Patients with severe symptoms,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,High patient satisfaction
209,Dermatology,11-20 years,Community clinic,Spain,Yes,Online webinar,Occasionally,Yes,11-20,,Effective,More than 4 weeks,Comparable,Yes: Nausea,Side effect concerns,Neutral,Ruxolitinib Cream,4,2,1,4,1,"Clinical efficacy, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,"Psoriasis, None","Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of systemic therapies,Great potential
210,General Practice,6-10 years,Hospital-based,Spain,Yes,,,Yes,1-5,,Unsure,2-4 weeks,Unsure,Yes: Nausea,Lack of training,Neutral,"Tralokinumab, Abrocitinib, Ruxolitinib Cream",2,3,1,2,4,"Clinical efficacy, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,Food Allergies,Patients who failed topical corticosteroids,Topical -> Systemic,After failure of systemic therapies,Limited evidence available
211,Dermatology,0-5 years,Private practice,Italy,Yes,Pharmaceutical representative,Occasionally,Yes,1-5,,Effective,No noticeable response,Unsure,,,Neutral,"Dupilumab, Tralokinumab",,1,,2,5,"Cost, Peer recommendations, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,"Asthma, Food Allergies",Patients with severe symptoms,Topical -> Biologic,After failure of systemic therapies,Great potential
212,General Practice,11-20 years,Hospital-based,Germany,Yes,,,Yes,More than 20,,Very effective,More than 4 weeks,Unsure,,Side effect concerns,Likely,"Abrocitinib, Dupilumab, Tralokinumab",4,3,3,,3,"Peer recommendations, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,76-100%,"None, Food Allergies",Patients who failed systemic therapies,Topical -> Biologic,After failure of systemic therapies,High patient satisfaction
213,Allergy/Immunology,6-10 years,Academic/Research institution,Germany,No,,,Yes,1-5,,Not effective,2-4 weeks,Inferior,,Cost issues,Very likely,"Abrocitinib, Tralokinumab, Dupilumab",1,1,4,3,4,"Patient demand, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,26-50%,"Asthma, Psoriasis",Patients who failed topical corticosteroids,Topical -> Systemic,After failure of systemic therapies,Limited evidence available
214,Pediatrics,0-5 years,Academic/Research institution,Germany,Yes,,,Yes,1-5,,Unsure,<2 weeks,Superior,,Lack of training,Very unlikely,"Tralokinumab, Upadacitinib, Ruxolitinib Cream",,3,,5,4,Patient demand,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,Asthma,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Systemic,After failure of topical therapies,Waiting for more data
215,General Practice,21+ years,Private practice,Spain,Yes,,,Yes,6-10,,Effective,2-4 weeks,Comparable,Yes: Dizziness,Lack of training,Very likely,"Ruxolitinib Cream, Abrocitinib",,,1,3,2,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,"Allergic Rhinitis, Asthma",Patients with severe symptoms,Topical -> Phototherapy -> Systemic,After failure of topical therapies,High patient satisfaction
216,General Practice,11-20 years,Private practice,Spain,No,,,Yes,1-5,,Effective,No noticeable response,Unsure,Yes: Dizziness,Side effect concerns,Very unlikely,"Ruxolitinib Cream, Upadacitinib, Abrocitinib",1,3,1,5,,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,Allergic Rhinitis,Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,High patient satisfaction
217,Pediatrics,21+ years,Community clinic,Italy,No,,,No,,Preference for alternative treatments,Somewhat effective,2-4 weeks,Comparable,Yes: Dizziness,Cost issues,Very unlikely,"Upadacitinib, Abrocitinib, Tralokinumab",4,4,1,2,5,"Safety profile, Peer recommendations, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,26-50%,Asthma,"Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Biologic,After failure of topical therapies,Waiting for more data
218,Dermatology,11-20 years,Hospital-based,Spain,No,,,Yes,1-5,,Not effective,No noticeable response,Inferior,Yes: Mild headache,Side effect concerns,Unlikely,Dupilumab,3,,,3,4,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,76-100%,Allergic Rhinitis,"Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Phototherapy -> Systemic,After failure of systemic therapies,High patient satisfaction
219,Dermatology,0-5 years,Academic/Research institution,Spain,No,,,Yes,1-5,,Effective,<2 weeks,Inferior,Yes: Nausea,Cost issues,Unlikely,"Abrocitinib, Upadacitinib, Tralokinumab",5,,3,5,1,"Patient demand, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,"Psoriasis, None",Patients who failed topical corticosteroids,Topical -> Biologic,After failure of topical therapies,Waiting for more data
220,General Practice,0-5 years,Academic/Research institution,Italy,Yes,Medical journal/literature,Frequently,Yes,6-10,,Effective,<2 weeks,Comparable,,Cost issues,Very unlikely,"Abrocitinib, Upadacitinib, Dupilumab",3,1,4,2,,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,76-100%,Allergic Rhinitis,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of multiple systemic therapies,Waiting for more data
221,Allergy/Immunology,6-10 years,Academic/Research institution,Spain,No,,,Yes,,,Very effective,Unsure,Unsure,Yes: Mild headache,Side effect concerns,Likely,"Ruxolitinib Cream, Dupilumab, Abrocitinib",1,,4,4,3,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,"Asthma, Food Allergies",Patients who failed topical corticosteroids,Topical -> Biologic,After failure of multiple systemic therapies,Waiting for more data
222,Dermatology,21+ years,Community clinic,Italy,No,,,No,6-10,Preference for alternative treatments,Very effective,2-4 weeks,Superior,Yes: Dizziness,Lack of training,Very likely,Ruxolitinib Cream,4,3,3,5,3,"Patient demand, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,"None, Food Allergies","Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Phototherapy -> Systemic,After failure of topical therapies,High patient satisfaction
223,General Practice,0-5 years,Private practice,Germany,Yes,,,Yes,11-20,,Very effective,<2 weeks,Unsure,Yes: Dizziness,Cost issues,Very likely,"Abrocitinib, Tralokinumab",1,1,3,3,4,"Safety profile, Cost, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,"Allergic Rhinitis, None","Patients who failed topical corticosteroids, Patients with severe symptoms",Topical -> Systemic,After failure of systemic therapies,Waiting for more data
224,Allergy/Immunology,21+ years,Private practice,Italy,No,,,No,,,Not effective,Unsure,Superior,Yes: Nausea,Side effect concerns,Likely,"Upadacitinib, Dupilumab, Abrocitinib",1,2,2,4,1,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,"Asthma, Food Allergies",Patients with severe symptoms,Topical -> Phototherapy -> Systemic,After failure of topical therapies,High patient satisfaction
225,Pediatrics,6-10 years,Private practice,Italy,No,,,No,,,Unsure,Unsure,Comparable,Yes: Nausea,Limited clinical data,Unlikely,"Ruxolitinib Cream, Upadacitinib, Dupilumab",3,3,5,,2,"Clinical efficacy, Cost, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,26-50%,"Psoriasis, Allergic Rhinitis",Patients with severe symptoms,Topical -> Systemic,After failure of multiple systemic therapies,High patient satisfaction
226,Allergy/Immunology,6-10 years,Community clinic,Germany,Yes,,,Yes,6-10,,Unsure,No noticeable response,Inferior,Yes: Dizziness,Side effect concerns,Very likely,"Abrocitinib, Ruxolitinib Cream",3,5,1,1,,"Clinical efficacy, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,26-50%,"Asthma, Psoriasis","Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Systemic,After failure of systemic therapies,Limited evidence available
227,Pediatrics,6-10 years,Academic/Research institution,Germany,No,,,No,1-5,Concerns about cost,Unsure,Unsure,Comparable,Yes: Mild headache,Limited clinical data,Likely,"Tralokinumab, Upadacitinib",3,1,,2,4,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,76-100%,"Psoriasis, Allergic Rhinitis","Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Systemic,After failure of topical therapies,Great potential
228,Pediatrics,21+ years,Community clinic,Spain,Yes,,,Yes,11-20,,Unsure,<2 weeks,Inferior,,Lack of training,Likely,Tralokinumab,3,2,,2,2,"Patient demand, Clinical efficacy, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,"Asthma, Psoriasis",Patients who failed systemic therapies,Topical -> Systemic,After failure of systemic therapies,Waiting for more data
229,General Practice,21+ years,Community clinic,Italy,Yes,,,Yes,1-5,Cost issues,Somewhat effective,More than 4 weeks,Inferior,Yes: Nausea,Lack of training,Likely,Tralokinumab,3,1,1,2,1,"Safety profile, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,76-100%,Allergic Rhinitis,"Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Systemic,After failure of topical therapies,High patient satisfaction
230,Allergy/Immunology,11-20 years,Academic/Research institution,Italy,Yes,,,Yes,6-10,,Somewhat effective,No noticeable response,Unsure,Yes: Nausea,,Likely,Upadacitinib,1,1,2,1,2,"Patient demand, Cost, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,76-100%,"Food Allergies, Allergic Rhinitis",Patients who failed systemic therapies,Topical -> Biologic,After failure of systemic therapies,Great potential
231,Allergy/Immunology,6-10 years,Private practice,Germany,No,,,Yes,,,Somewhat effective,No noticeable response,Superior,Yes: Nausea,Side effect concerns,Likely,"Abrocitinib, Upadacitinib, Ruxolitinib Cream",2,4,3,3,1,"Peer recommendations, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,26-50%,Allergic Rhinitis,Patients with severe symptoms,Topical -> Systemic,After failure of multiple systemic therapies,Limited evidence available
232,Pediatrics,11-20 years,Hospital-based,France,Yes,Medical journal/literature,Occasionally,Yes,6-10,Preference for alternative treatments,Unsure,No noticeable response,Inferior,,Cost issues,Likely,Upadacitinib,2,3,4,3,4,"Patient demand, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,"Psoriasis, None","Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Biologic,After failure of topical therapies,Great potential
233,Dermatology,11-20 years,Private practice,Italy,Yes,Online webinar,Frequently,Yes,1-5,Insufficient clinical evidence,Somewhat effective,2-4 weeks,Unsure,Yes: Dizziness,Limited clinical data,Likely,"Dupilumab, Abrocitinib, Ruxolitinib Cream",2,3,5,1,3,"Patient demand, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,Food Allergies,Patients who failed topical corticosteroids,Topical -> Systemic,After failure of topical therapies,Limited evidence available
234,Dermatology,11-20 years,Academic/Research institution,France,No,,,No,6-10,Lack of familiarity,Effective,Unsure,Inferior,Yes: Nausea,,Unlikely,"Abrocitinib, Upadacitinib, Dupilumab",4,5,5,5,2,"Safety profile, Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Asthma, Food Allergies",Patients with severe symptoms,Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Limited evidence available
235,Dermatology,11-20 years,Hospital-based,Spain,No,,,No,,Lack of familiarity,Very effective,Unsure,Superior,Yes: Dizziness,Side effect concerns,Likely,"Abrocitinib, Upadacitinib",4,2,1,3,2,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,"Food Allergies, None","Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Biologic,After failure of multiple systemic therapies,High patient satisfaction
236,Allergy/Immunology,0-5 years,Hospital-based,Germany,No,,,No,,Preference for alternative treatments,Unsure,No noticeable response,Comparable,Yes: Dizziness,Cost issues,Very unlikely,"Abrocitinib, Ruxolitinib Cream, Dupilumab",2,3,1,5,1,"Patient demand, Clinical efficacy, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,0-25%,"Allergic Rhinitis, Psoriasis",Patients with severe symptoms,Topical -> Biologic,After failure of topical therapies,Limited evidence available
237,General Practice,11-20 years,Private practice,France,Yes,,,Yes,6-10,,Very effective,No noticeable response,Inferior,Yes: Nausea,Cost issues,Very unlikely,"Abrocitinib, Dupilumab",4,3,5,1,,"Clinical efficacy, Peer recommendations, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,None,Patients with severe symptoms,Topical -> Systemic,After failure of topical therapies,High patient satisfaction
238,Allergy/Immunology,0-5 years,Academic/Research institution,Germany,Yes,Online webinar,Occasionally,Yes,6-10,Concerns about cost,Unsure,<2 weeks,Inferior,,Lack of training,Unlikely,Ruxolitinib Cream,4,3,5,,,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,Allergic Rhinitis,"Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Systemic,After failure of multiple systemic therapies,Limited evidence available
239,General Practice,21+ years,Hospital-based,Germany,Yes,Online webinar,Occasionally,Yes,1-5,,Effective,More than 4 weeks,Superior,,Limited clinical data,Likely,Dupilumab,3,3,5,4,2,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,Allergic Rhinitis,"Patients who failed topical corticosteroids, Patients with severe symptoms",Topical -> Systemic,After failure of multiple systemic therapies,Great potential
240,Pediatrics,11-20 years,Private practice,France,Yes,Medical journal/literature,Frequently,Yes,1-5,,Effective,<2 weeks,Superior,,Side effect concerns,Likely,Tralokinumab,1,3,2,4,2,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,Food Allergies,Patients who failed topical corticosteroids,Topical -> Systemic,After failure of topical therapies,High patient satisfaction
